epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2104.01,1.37076,1.13719,1.24073,0.49207,0.34815,0.35785,0.20251,1.83506,1.83541,1.45668,0.00098525,0.00098525,0.00098525
43,2139.79,1.37824,1.15852,1.26138,0.47568,0.34392,0.34391,0.19775,1.80659,1.85839,1.45202,0.0009605,0.0009605,0.0009605
44,2176.72,1.32941,1.16082,1.22435,0.46337,0.33122,0.33793,0.19607,1.81367,1.87168,1.45351,0.00093575,0.00093575,0.00093575
45,2214.89,1.38776,1.17458,1.27759,0.44719,0.33122,0.33065,0.1908,1.81726,1.93942,1.4471,0.000911,0.000911,0.000911
46,2249.06,1.33296,1.16274,1.25975,0.48815,0.32804,0.34126,0.19585,1.81688,1.92898,1.4397,0.00088625,0.00088625,0.00088625
47,2282.14,1.33233,1.17529,1.28398,0.50923,0.3164,0.33948,0.19885,1.8256,1.9945,1.4424,0.0008615,0.0008615,0.0008615
48,2315.96,1.35894,1.16572,1.24925,0.51888,0.31727,0.34712,0.20252,1.79234,2.00852,1.435,0.00083675,0.00083675,0.00083675
49,2348.56,1.305,1.21081,1.25413,0.4887,0.33757,0.34254,0.20212,1.79076,2.03782,1.43253,0.000812,0.000812,0.000812
50,2381.79,1.31327,1.14112,1.25282,0.49747,0.33228,0.34765,0.20039,1.79345,2.02721,1.43207,0.00078725,0.00078725,0.00078725
51,2414.73,1.29512,1.12035,1.21931,0.47577,0.33998,0.3554,0.20646,1.81042,1.8945,1.43548,0.0007625,0.0007625,0.0007625
52,2448.4,1.31963,1.13485,1.23601,0.50768,0.3545,0.3756,0.21504,1.80747,1.76537,1.43803,0.00073775,0.00073775,0.00073775
53,2483.44,1.32193,1.1121,1.22107,0.50735,0.36399,0.38729,0.22115,1.7957,1.72891,1.4374,0.000713,0.000713,0.000713
54,2518.8,1.2803,1.13467,1.23576,0.49819,0.35661,0.37945,0.21217,1.83911,1.812,1.46252,0.00068825,0.00068825,0.00068825
55,2554.06,1.29554,1.07301,1.21859,0.48356,0.37566,0.38181,0.21958,1.81718,1.83602,1.45416,0.0006635,0.0006635,0.0006635
56,2601.63,1.32217,1.09308,1.23215,0.47281,0.38519,0.38916,0.22994,1.77703,1.79193,1.43577,0.00063875,0.00063875,0.00063875
57,2641.81,1.30675,1.0765,1.21614,0.48368,0.38519,0.39473,0.22424,1.83385,1.71607,1.44989,0.000614,0.000614,0.000614
58,2680.5,1.3507,1.09771,1.22891,0.48552,0.39471,0.39865,0.22431,1.84821,1.68567,1.44982,0.00058925,0.00058925,0.00058925
59,2717.06,1.37434,1.12796,1.2414,0.48822,0.39153,0.40052,0.23406,1.79806,1.68068,1.42621,0.0005645,0.0005645,0.0005645
60,2751.67,1.25919,1.11228,1.18022,0.50314,0.37291,0.39106,0.23075,1.76903,1.72351,1.41819,0.00053975,0.00053975,0.00053975
61,2783.59,1.31437,1.15895,1.23324,0.51107,0.37672,0.39425,0.22795,1.78203,1.70981,1.42712,0.000515,0.000515,0.000515
62,2817.94,1.29113,1.11926,1.22736,0.52524,0.37672,0.3988,0.23041,1.79607,1.639,1.4408,0.00049025,0.00049025,0.00049025
63,2851.61,1.31094,1.10182,1.22425,0.4897,0.37989,0.39523,0.22854,1.80089,1.59863,1.44692,0.0004655,0.0004655,0.0004655
64,2883.46,1.2932,1.10116,1.22695,0.48424,0.3873,0.39306,0.22718,1.78787,1.591,1.44363,0.00044075,0.00044075,0.00044075
65,2928.24,1.33074,1.13202,1.25606,0.47743,0.37989,0.39131,0.22839,1.78119,1.60124,1.43922,0.000416,0.000416,0.000416
66,2960.39,1.25446,1.1139,1.21063,0.47847,0.37668,0.39225,0.2311,1.77416,1.6337,1.43502,0.00039125,0.00039125,0.00039125
67,2994.68,1.26432,1.06999,1.21148,0.47615,0.39051,0.39533,0.23403,1.7686,1.65895,1.42923,0.0003665,0.0003665,0.0003665
68,3027.34,1.23493,1.1043,1.22115,0.46748,0.39759,0.39804,0.23345,1.77817,1.6827,1.42952,0.00034175,0.00034175,0.00034175
69,3060,1.28024,1.07167,1.20742,0.48752,0.39259,0.40586,0.23767,1.78354,1.65469,1.42523,0.000317,0.000317,0.000317
70,3098.17,1.22406,1.05884,1.2015,0.48085,0.40635,0.41326,0.24229,1.77024,1.60705,1.41407,0.00029225,0.00029225,0.00029225
71,3141.9,1.26041,1.18966,1.21869,0.48542,0.41926,0.42168,0.24319,1.76142,1.54238,1.40453,0.0002675,0.0002675,0.0002675
72,3173.14,1.2604,1.15779,1.21216,0.48375,0.42241,0.42909,0.24188,1.77386,1.51083,1.40889,0.00024275,0.00024275,0.00024275
73,3202.77,1.28281,1.18687,1.24322,0.47297,0.43874,0.42454,0.23409,1.78493,1.50351,1.41431,0.000218,0.000218,0.000218
74,3232.77,1.23594,1.16975,1.2308,0.47489,0.4383,0.41296,0.22688,1.78539,1.51785,1.42045,0.00019325,0.00019325,0.00019325
75,3265.24,1.25286,1.1966,1.22249,0.47405,0.42222,0.39968,0.22143,1.77602,1.52771,1.41923,0.0001685,0.0001685,0.0001685
76,3296.5,1.24184,1.13484,1.20034,0.48089,0.40683,0.39397,0.22123,1.76479,1.54341,1.41607,0.00014375,0.00014375,0.00014375
77,3328.75,1.21783,1.11549,1.19396,0.47565,0.41164,0.39006,0.21911,1.76091,1.55558,1.41682,0.000119,0.000119,0.000119
78,3360.49,1.20551,1.12034,1.18826,0.46705,0.39683,0.38349,0.21825,1.75603,1.56223,1.4135,9.425e-05,9.425e-05,9.425e-05
79,3390.34,1.21125,1.13349,1.21823,0.47016,0.39365,0.38105,0.21911,1.75486,1.56656,1.41263,6.95e-05,6.95e-05,6.95e-05
80,3421.47,1.19822,1.11878,1.22189,0.4796,0.39048,0.38263,0.22048,1.75369,1.56583,1.41292,4.475e-05,4.475e-05,4.475e-05
